,badge,work_date,cost_center,num_hours,category,description,ws_rule,ws_rule_text,status,race,,,
82,1656,10/6/19,1765,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
83,1657,10/6/19,1735,11.33,4006,Double Time,A0530AA1,A-Shift ESA cover Shifts,Active,Non-Hispanic/Latino,,,
84,1741,10/6/19,1831,7.7,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
85,1757,10/6/19,2721,10.57,4006,Double Time,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
86,1758,10/6/19,2736,6.33,4006,Double Time,A0700PS3,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
87,1775,10/6/19,1625,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
88,1803,10/6/19,2835,7.48,4006,Double Time,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
90,1827,10/6/19,2838,8.01,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
91,1830,10/6/19,2820,6.9,4006,Double Time,APUB,A-Shift UBS,Active,Non-Hispanic/Latino,,,
92,1831,10/6/19,2820,8.16,4006,Double Time,AZA1,A-Shift Z3 Asm Team 1,Active,Non-Hispanic/Latino,,,
93,1875,10/6/19,2941,6.25,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
95,1892,10/6/19,1620,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
96,1894,10/6/19,2737,5.61,4006,Double Time,AAES,A-Shift Asm ESA,Active,Non-Hispanic/Latino,,,
97,1921,10/6/19,1715,11.5,4006,Double Time,A11&8P11,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
98,1976,10/6/19,2950,6.56,4006,Double Time,AXA3,A-Shift X5 Asm Team 3,Active,Non-Hispanic/Latino,,,
99,1990,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
100,1994,10/6/19,2777,10.52,4006,Double Time,A11&8B01,Body A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
101,2006,10/6/19,1770,11.5,4006,Double Time,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
102,2067,10/6/19,2828,7.5,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
103,2068,10/6/19,2838,8,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
