,badge,work_date,cost_center,num_hours,category,description,ws_rule,ws_rule_text,status,race,,,
3792,13239,10/7/19,2825,10.57,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3793,13240,10/7/19,1809,10.67,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3794,13241,10/7/19,2810,10.1,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3795,13243,10/7/19,1820,10.65,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3796,13245,10/7/19,1809,10.85,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3797,13247,10/7/19,2816,11.25,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3798,13248,10/7/19,1806,11.27,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3799,13249,10/7/19,2817,11.03,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3800,13251,10/7/19,2806,11.93,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3801,13255,10/7/19,2803,12,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3802,13258,10/7/19,2810,11.62,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3803,13261,10/7/19,2802,10.77,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3804,13262,10/7/19,1804,10.83,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3805,13264,10/7/19,2815,10.87,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3806,13266,10/7/19,2907,10.03,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3807,13267,10/7/19,1815,11.33,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3808,13276,10/7/19,1361,11.88,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3809,13279,10/7/19,2928,10.55,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3810,13282,10/7/19,2930,10.05,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3811,13283,10/7/19,2930,10.05,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3812,13284,10/7/19,2939,10.68,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3813,13285,10/7/19,2928,10.47,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3814,13288,10/7/19,2907,10.03,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3815,13289,10/7/19,2929,10.05,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3816,13290,10/7/19,2843,10.67,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3817,13294,10/7/19,2936,10,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3818,13295,10/7/19,2929,10.02,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3819,13296,10/7/19,2905,10.03,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3820,13297,10/7/19,2905,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Hispanic/Latino,,,
3821,13298,10/7/19,2905,10.17,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3822,13301,10/7/19,2945,10,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3823,13305,10/7/19,2927,10.02,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3824,13307,10/7/19,2928,10.42,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3825,13309,10/7/19,2929,10.03,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3826,13310,10/7/19,2940,10.07,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3827,13311,10/7/19,2843,10.63,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3828,13312,10/7/19,2652,11.37,4000,Regular Hours,B11&8B01,Body B-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
3829,13313,10/7/19,2940,10.12,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3830,13315,10/7/19,2801,10.58,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3831,13316,10/7/19,2801,10.63,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3832,13317,10/7/19,2812,10.72,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3833,13318,10/7/19,2815,10.68,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3834,13319,10/7/19,2925,10.05,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3835,13323,10/7/19,2929,10.05,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3836,13324,10/7/19,2909,10.07,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3837,13325,10/7/19,2810,10.7,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3838,13326,10/7/19,2940,10.07,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3839,13327,10/7/19,2929,10.02,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3840,13329,10/7/19,2940,10.12,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3841,13331,10/7/19,2911,10.08,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3842,13332,10/7/19,1805,10.58,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3843,13333,10/7/19,1810,10.65,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3844,13334,10/7/19,2912,10.02,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3845,13335,10/7/19,1810,10.65,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3846,13336,10/7/19,2930,10,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3847,13344,10/7/19,2807,10.72,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3848,13345,10/7/19,1806,10.55,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3849,13347,10/7/19,1820,13.08,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3850,13349,10/7/19,2803,10.78,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3851,13351,10/7/19,2936,10,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3852,13353,10/7/19,1805,10.6,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3853,13357,10/7/19,2923,10.56,4000,Regular Hours,B1930AD3,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3854,13358,10/7/19,2815,10.67,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3855,13359,10/7/19,1811,10.8,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3856,13385,10/7/19,2923,10.07,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3857,13387,10/7/19,2928,10.43,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3858,13391,10/7/19,2936,10.78,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3859,13393,10/7/19,2927,10.05,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3860,13395,10/7/19,2928,10.53,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3861,13396,10/7/19,2925,10.12,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3862,13399,10/7/19,1364,11.55,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3863,13403,10/7/19,1343,10.62,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3864,13404,10/7/19,2813,10.67,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3865,13409,10/7/19,2923,10.1,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3866,13412,10/7/19,2905,10.03,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3867,13413,10/7/19,2928,10.42,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3868,13415,10/7/19,1747,10,4000,Regular Hours,BXA7,B-Shift X5 Asm Team 7,Active,Non-Hispanic/Latino,,,
3869,13417,10/7/19,2931,10,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3870,13420,10/7/19,1806,10.75,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3871,13422,10/7/19,2906,10.08,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3872,13432,10/7/19,2939,10.03,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3873,13435,10/7/19,2907,10.12,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3874,13436,10/7/19,2923,10.05,4000,Regular Hours,B1930AD3,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3875,13438,10/7/19,1814,10.57,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3876,13440,10/7/19,1814,10.7,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3877,13441,10/7/19,2925,10.18,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3878,13446,10/7/19,2925,10.1,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3879,13449,10/7/19,2906,10.02,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3880,13450,10/7/19,2929,10.03,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3881,13454,10/7/19,2931,10.02,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3882,13461,10/7/19,2914,10,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3883,13463,10/7/19,2936,10.03,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3884,13464,10/7/19,2931,10,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3885,13466,10/7/19,2942,10.02,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3886,13468,10/7/19,2801,10.72,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3887,13469,10/7/19,2936,10.03,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3888,13471,10/7/19,2803,10.67,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3889,13472,10/7/19,1804,10.75,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3890,13473,10/7/19,1810,10.8,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3891,13474,10/7/19,2737,10,2000,Vacation,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3892,13475,10/7/19,2825,10.77,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3893,13477,10/7/19,2806,11.73,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3894,13478,10/7/19,2825,10.58,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3895,13479,10/7/19,1815,10.77,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3896,13482,10/7/19,2929,10.03,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3897,13483,10/7/19,2699,5.45,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3898,13485,10/7/19,2936,10,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3899,13487,10/7/19,1361,10.6,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3900,13488,10/7/19,4254,11.65,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3901,13489,10/7/19,2936,10.07,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3902,13490,10/7/19,1396,11.83,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3903,13491,10/7/19,4255,10.95,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3904,13492,10/7/19,1822,8.43,4000,Regular Hours,B2130AA1,B-Shift 21:30 Start 8 hr,Active,Non-Hispanic/Latino,,,
3905,13495,10/7/19,2928,10.43,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3906,13496,10/7/19,2736,10.67,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3907,13500,10/7/19,2923,10,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3908,13504,10/7/19,2936,10.02,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3909,13505,10/7/19,2803,10.72,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3910,13507,10/7/19,2812,8.07,4000,Regular Hours,A0600AQ1,Quality A-Shift 8hrs 6AM,Active,Non-Hispanic/Latino,,,
3911,13508,10/7/19,2925,10.03,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3912,13509,10/7/19,2936,10.02,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3913,13511,10/7/19,2815,10.67,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3914,13512,10/7/19,2810,10.77,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3915,13515,10/7/19,2808,10.77,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3916,13516,10/7/19,2931,10.05,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3917,13517,10/7/19,2802,10.15,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3918,13518,10/7/19,1820,10.58,4000,Regular Hours,B1930AD3,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3919,13519,10/7/19,1814,10.55,4000,Regular Hours,B1930AD3,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3920,13524,10/7/19,1814,10.67,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3921,13525,10/7/19,1815,11.2,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3922,13527,10/7/19,2905,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3923,13531,10/7/19,2905,10.02,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3924,13533,10/7/19,2928,10.43,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3925,13540,10/7/19,1811,10.73,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3926,13541,10/7/19,2736,10.62,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3927,13544,10/7/19,2928,11.2,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3928,13545,10/7/19,2931,10,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3929,13547,10/7/19,2927,8.3,4000,Regular Hours,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
3930,13549,10/7/19,2927,10.1,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3931,13552,10/7/19,1806,10.55,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3932,13554,10/7/19,2815,11.98,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3933,13555,10/7/19,2812,10.67,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3934,13556,10/7/19,1813,10.67,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3935,13558,10/7/19,2905,10,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3936,13559,10/7/19,2810,10.8,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3937,13560,10/7/19,1810,10.77,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3938,13561,10/7/19,2806,10.63,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3939,13563,10/7/19,2806,10.2,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3940,13566,10/7/19,2736,10.65,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3941,13573,10/7/19,1809,11.05,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3942,13574,10/7/19,1809,13,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3943,13575,10/7/19,2907,10.06,4000,Regular Hours,B1930AD3,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3944,13577,10/7/19,2927,10.53,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3945,13578,10/7/19,2736,10.6,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3946,13579,10/7/19,2905,9.97,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Hispanic/Latino,,,
3947,13581,10/7/19,1810,10.65,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3948,13582,10/7/19,1804,10.55,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3949,13583,10/7/19,1747,10,4000,Regular Hours,BXA8,B-Shift X5 Asm Team 8,Active,Non-Hispanic/Latino,,,
3950,13584,10/7/19,1805,10.7,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3952,13680,10/7/19,2713,11.52,4000,Regular Hours,B11&8B01,Body B-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
3953,13682,10/7/19,2731,11.23,4000,Regular Hours,B11&8B01,Body B-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
3954,13683,10/7/19,1396,10.65,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3955,13685,10/7/19,1810,10.77,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3956,13687,10/7/19,1806,10.65,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3957,13688,10/7/19,2613,9.93,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3958,13692,10/7/19,2736,10.65,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3959,13698,10/7/19,2816,10.67,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Hispanic/Latino,,,
3960,13702,10/7/19,2779,11.43,4000,Regular Hours,B11&8P01,Paint B-Shift 11.5hr/8.0h,Active,Non-Hispanic/Latino,,,
3961,13703,10/7/19,1820,10.62,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3962,13705,10/7/19,2651,8,4000,Regular Hours,AZB1,A-Shift Z3 Body Team 1,Active,Non-Hispanic/Latino,,,
3963,13708,10/7/19,2714,9.95,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3964,13709,10/7/19,2615,10,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3965,13712,10/7/19,2802,10.17,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3966,13716,10/7/19,2907,10.08,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3967,13718,10/7/19,2714,10.02,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3968,13721,10/7/19,2810,10.15,4000,Regular Hours,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3969,13722,10/7/19,1555,11.63,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3970,13723,10/7/19,1813,10.75,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3971,13725,10/7/19,2752,10.13,4000,Regular Hours,BPD3,B: Paint App Fin Team 3,Active,Hispanic/Latino,,,
3972,13726,10/7/19,2813,10.7,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3973,13727,10/7/19,2816,10.7,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3974,13729,10/7/19,2714,9.93,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3975,13731,10/7/19,2731,11.77,4000,Regular Hours,B11&8B01,Body B-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
3976,13732,10/7/19,2905,10,4000,Regular Hours,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
3977,13733,10/7/19,2736,8.08,4000,Regular Hours,BPFI,B-Shift Z4 Assembly,Active,Non-Hispanic/Latino,,,
3978,13736,10/7/19,2726,11.52,4000,Regular Hours,B11&8B01,Body B-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
3979,13737,10/7/19,2812,10.78,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3980,13738,10/7/19,1783,11.5,4000,Regular Hours,B11&8P64,Paint B-Shift 11.5hr/8.0h,Active,Non-Hispanic/Latino,,,
3981,13759,10/7/19,2816,10.6,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3982,13761,10/7/19,2777,9.95,4000,Regular Hours,BPD1,B: Paint App Fin Team 1,Active,Hispanic/Latino,,,
3983,13762,10/7/19,1750,11.33,4000,Regular Hours,B11&8P01,Paint B-Shift 11.5hr/8.0h,Active,Non-Hispanic/Latino,,,
3984,13763,10/7/19,2810,10.75,4000,Regular Hours,B1930AD1,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
3985,13766,10/7/19,2936,10,4000,Regular Hours,B1930AD2,B-Shift 19:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
